ecodistrict,year,model,scenario,tmin,prcp,ivpd,itmin,iphoto
146,2096,GCM4,RCP45,-7.17287671232876,25.99,364.51184,125.8,213.197777777778
146,2097,GCM4,RCP45,-7.06493150684932,20.85,364.221461538462,127.542857142857,213.197777777778
146,2098,GCM4,RCP45,-6.04602739726028,15.57,364.665593846154,141.514285714286,213.197777777778
146,2099,GCM4,RCP45,-7.88739726027398,20.82,364.458258461538,98.2571428571429,213.197777777778
146,2100,GCM4,RCP45,-6.64082191780822,18.31,364.738021538462,119.385714285714,213.197777777778
146,2000,Hadley,RCP45,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,Hadley,RCP45,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,Hadley,RCP45,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,Hadley,RCP45,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,Hadley,RCP45,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,Hadley,RCP45,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,Hadley,RCP45,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,Hadley,RCP45,-12.4805479452055,12.64,364.006575384615,91.8142857142857,213.197777777778
146,2008,Hadley,RCP45,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,Hadley,RCP45,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,Hadley,RCP45,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,Hadley,RCP45,-6.63342465753424,36.43,364.417196923077,111.185714285714,213.197777777778
146,2091,Hadley,RCP45,-4.98821917808219,31.56,364.786713846154,132.857142857143,213.197777777778
146,2092,Hadley,RCP45,-6.19780821917808,30.99,364.570255384615,113.628571428571,213.197777777778
146,2093,Hadley,RCP45,-6.75972602739726,24.2,364.516464615385,117.7,213.197777777778
146,2094,Hadley,RCP45,-5.74849315068493,22.22,364.566926153846,133.842857142857,213.197777777778
146,2095,Hadley,RCP45,-4.30767123287671,38.23,364.336526153846,138.6,213.197777777778
146,2096,Hadley,RCP45,-5.13945205479452,30.84,363.676827692308,131.014285714286,213.197777777778
146,2097,Hadley,RCP45,-6.75232876712329,28.72,363.968781538462,115.014285714286,213.197777777778
146,2098,Hadley,RCP45,-5.23068493150684,27.42,364.587975384615,139.014285714286,213.197777777778
146,2099,Hadley,RCP45,-5.51178082191781,40.03,364.632107692308,113.7,213.197777777778
146,2100,Hadley,RCP45,-6.17150684931506,34.97,364.386061538462,127.485714285714,213.197777777778
146,2000,RCM4,RCP85,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,RCM4,RCP85,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,RCM4,RCP85,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,RCM4,RCP85,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,RCM4,RCP85,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,RCM4,RCP85,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,RCM4,RCP85,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,RCM4,RCP85,-12.4805479452055,12.69,364.006575384615,91.8142857142857,213.197777777778
146,2008,RCM4,RCP85,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,RCM4,RCP85,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,RCM4,RCP85,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,RCM4,RCP85,-2.91835616438356,21.75,362.861544615385,141.242857142857,213.197777777778
146,2091,RCM4,RCP85,-3.32684931506849,20.81,363.210852307692,140.985714285714,213.197777777778
146,2092,RCM4,RCP85,-3.55698630136986,27.37,363.024926153846,134.3,213.197777777778
146,2093,RCM4,RCP85,-3.61315068493151,33.59,363.133947692308,137.3,213.197777777778
146,2094,RCM4,RCP85,-2.33287671232877,26.16,362.468873846154,143.2,213.197777777778
146,2095,RCM4,RCP85,-3.20986301369863,32.46,361.834510769231,155.071428571429,213.197777777778
146,2096,RCM4,RCP85,-3.23452054794521,25.29,363.126824615385,139.285714285714,213.197777777778
